,classical,disco,hiphop,jazz,metal,pop,reggae,rock
classical,2,0,0,0,0,0,0,0
disco,0,0,0,0,1,1,0,0
hiphop,0,0,2,0,0,0,0,0
jazz,0,0,0,1,0,0,0,1
metal,0,0,2,0,0,0,0,0
pop,0,1,0,0,0,1,0,0
reggae,0,0,0,2,0,0,0,0
rock,1,0,0,0,0,0,0,1
