,classical,disco,doesent belong anywhere,hiphop,jazz,metal,pop,reggae,rock
classical,58,0,1,0,0,0,0,0,1
disco,1,48,0,0,4,1,2,2,2
doesent belong anywhere,0,0,120,0,0,0,0,0,0
hiphop,0,1,0,50,0,6,3,0,0
jazz,9,0,0,0,48,0,0,0,3
metal,0,0,0,6,0,49,0,0,5
pop,0,10,0,2,0,0,46,0,2
reggae,0,4,0,10,0,1,7,35,3
rock,0,7,0,0,2,5,0,2,44
