,classical,disco,doesent belong anywhere,hiphop,jazz,metal,pop,reggae,rock
classical,51,0,5,0,0,0,0,0,4
disco,3,44,0,0,3,4,2,0,4
doesent belong anywhere,0,0,120,0,0,0,0,0,0
hiphop,0,3,0,44,0,6,7,0,0
jazz,8,5,0,1,44,0,0,0,2
metal,0,0,0,3,0,56,0,0,1
pop,0,9,0,4,0,0,43,1,3
reggae,0,4,2,5,0,1,5,37,6
rock,0,12,0,1,2,1,3,1,40
