,classical,disco,hiphop,jazz,metal,pop,reggae,rock
classical,42,0,0,5,0,1,0,0
disco,0,14,5,1,14,12,0,2
hiphop,0,3,31,0,5,9,0,0
jazz,5,1,1,29,0,3,1,8
metal,0,1,4,0,37,0,0,6
pop,0,1,8,2,0,35,2,0
reggae,1,1,27,1,0,1,17,0
rock,2,8,2,5,11,5,2,13
